Household_Id	Acres [EUPATH_0000026]	Air bricks [EUPATH_0000018]	Animal-drawn cart [EUPATH_0000166]	Bank account [EUPATH_0000167]	Bed [ENVO_00000501]	Bicycle [ENVO_01000614]	Boat with a motor [EUPATH_0000179]	Boat without a motor [EUPATH_0000170]	Car or truck [EUPATH_0000171]	Cassette player [ENVO_01000578]	Chair [ENVO_01000586]	Clock [ENVO_01000596]	Cooking fuel [EUPATH_0000023]	Country [ENVO_00000009]	Cupboard [ENVO_01000595]	Drinking water source [ENVO_00003064]	Dwelling type [ENVO_01000744]	Eaves [ENVO_01000825]	Electricity [EUPATH_0021084]	Floor material [EUPATH_0000006]	Food problems per week [EUPATH_0000029]	Household wealth index, categorical [EUPATH_0000143]	Household wealth index, numerical [EUPATH_0000014]	Human waste facilities [EUPATH_0000335]	Landline phone [ENVO_01000582]	Lighting source [OBI_0400065]	Meals per day [EUPATH_0000027]	Meat meals per week [EUPATH_0000028]	Mobile phone [ENVO_01000581]	Motorcycle or scooter [ENVO_01000615]	Persons living in house count [EUPATH_0000019]	Radio [ENVO_01000577]	Refrigerator [ENVO_01000583]	Roof material [EUPATH_0000003]	Sleeping places count [EUPATH_0000201]	Sleeping rooms in dwelling count [EUPATH_0000025]	Sofa [ENVO_01000588]	Sub-county in Uganda [EUPATH_0000054]	Table [ENVO_01000584]	Television [ENVO_01000579]	Wall material [EUPATH_0000009]	Watch [EUPATH_0000186]
h_201026002	0	No airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Always	Poorest	-.99007106	["Covered pit latrine w/slab"]	No	Paraffin - wick lamp	3	2	Yes	No	4	No	No	Metal	2	1	No	Walukuba	No	No	Cement	No
h_443005504	3	Unscreened airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Never	Least poor	.87931198	["Uncovered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	0	Yes	Yes	5	Yes	No	Metal	2	1	No	Kihihi	Yes	No	Cement	No
h_310000402	2	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Seldom	Least poor	.92645317	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	4	Yes	No	Metal	4	3	Yes	Kihihi	Yes	No	Mud	No
h_134001001	0	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Always	Poorest	-1.6762136	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	6	No	No	Metal	3	1	No	Nagongera	No	No	Mud	No
h_357004501	7	Unscreened airbricks	No		Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Borehole	Traditional	Closed	No	Earth or sand	Never	Least poor	1.8738766	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	4	No	No	9	Yes	No	Metal	4	4	Yes	Kihihi	Yes	No	Mud	No
h_116000604	1	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Open	No	Earth and dung	Always	Poorest	-2.7606716	["No facility/bush/field"]	No	Paraffin - wick lamp	2	3	No	No	4	No	No	Thatch	2	1	No	Nagongera	No	No	Mud	No
h_202003907	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Seldom	Middle	.055825725	["Vip latrine"]	No	Paraffin - hurricane lamp	2	0	Yes	No	7	No	No	Metal	3	1	No	Walukuba	Yes	No	Cement	No
h_141014803	6	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Borehole	Traditional	Closed	No	Earth or sand	Sometimes	Least poor	1.1522596	["No facility/bush/field"]	No	Paraffin - wick lamp	2	0	Yes	No	9	Yes	No	Metal	4	1	No	Nagongera	Yes	No	Mud	Yes
h_217002805	0	Unscreened airbricks	No	Yes	Yes	No	No	No	No	Yes	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	Yes	Cement/concrete	Often	Least poor	.98267734	["Uncovered pit latrine no slab"]	No	Electricity	2	2	Yes	Yes	7	Yes	No	Metal	4	1	Yes	Walukuba	Yes	Yes	Cement	No
h_114011201	1	No airbricks	No	No	No	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Often	Poorest	-.6297726	["No facility/bush/field"]	No	Paraffin - wick lamp	2	2	No	No	4	Yes	No	Metal	2	1	No	Nagongera	Yes	No	Mud	No
h_118010301	2	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth and dung	Always	Poorest	-2.7606716	["No facility/bush/field"]	No	Paraffin - wick lamp	3	7	No	No	10	No	No	Thatch	4	1	No	Nagongera	No	No	Mud	No
h_103020201	30	No airbricks	No	Yes	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Cement/concrete	Never	Least poor	1.9895872	["Uncovered pit latrine no slab"]	No	Solar	2	5	Yes	No	15	Yes	No	Metal	13	6	No	Nagongera	Yes	No	Cement	Yes
h_117010301	2	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Open	No	Earth and dung	Always	Poorest	-2.9348412	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	6	No	No	Thatch	2	1	No	Nagongera	No	No	Mud	No
h_201018101	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Cement/concrete	Never	Middle	-.4561474	["Uncovered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	3	Yes	No	5	No	No	Metal	2	1	No	Walukuba	Yes	No	Mud	No
h_136003102	2	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Always	Poorest	-2.0183213	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	1	No	No	7	No	No	Metal	3	1	No	Nagongera	Yes	No	Mud	No
h_335003701	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Always	Middle	-.46155116	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	No	No	3	Yes	No	Metal	3	3	No	Kihihi	Yes	No	Mud	No
h_138003901	7	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Borehole	Modern	Closed	No	Cement/concrete	Never	Least poor	2.6598694	["Covered pit latrine w/slab"]	No	Paraffin - wick lamp	2	2	Yes	No	11	Yes	No	Metal	6	3	No	Nagongera	Yes	No	Cement	No
h_205006844	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Open	No	Earth or sand	Often	Poorest	-1.1034453	["Uncovered pit latrine no slab"]	No	Torch/battery powered lamp	3	4	Yes	No	7	No	No	Metal	4	1	No	Walukuba	Yes	No	Mud	No
h_108001201	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Modern	Closed	No	Earth and dung	Sometimes	Middle	-.40698734	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	4	1	Yes	No	7	Yes	No	Metal	3	2	No	Nagongera	Yes	No	Cement	No
h_102014401	2	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Modern	Closed	No	Cement/concrete	Never	Middle	.7582317	["No facility/bush/field"]	No	Paraffin - hurricane lamp	3	3	Yes	No	5	Yes	No	Metal	3	2	No	Nagongera	Yes	No	Cement	No
h_126002301	3	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Modern	Closed	No	Earth or sand	Never	Middle	.1369614	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	Yes	No	6	Yes	No	Metal	5	3	No	Nagongera	No	No	Cement	No
h_201018701	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Least poor	1.1994008	["Covered pit latrine no slab"]	No	Candles	3	1	Yes	No	3	Yes	No	Metal	2	1	No	Walukuba	Yes	No	Cement	No
h_218000403	0	No airbricks	No	Yes	Yes	No	No	No	No	Yes	Yes	No	["Charcoal"]	Uganda	Yes	Piped into yard/compound	Modern	Closed	No	Cement/concrete	Never	Least poor	2.0208681	["Vip latrine"]	No	Torch/battery powered lamp	3	3	Yes	No	8	Yes	No	Tiles	3	2	No	Walukuba	Yes	No	Cement	No
h_425001001	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	No	No	["Firewood"]	Uganda	No	Open public well	Traditional	Closed	No	Earth or sand	Often	Poorest	-2.0183213	["No facility/bush/field"]	No	Paraffin - wick lamp	2	0	No	No	3	No	No	Metal	2	1	No	Kihihi	Yes	No	Mud	No
h_201032570	0	No airbricks	No	Yes	Yes	No	No	No	No	Yes	No	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Never	Least poor	2.0208681	["Covered pit latrine w/slab"]	No	Electricity	2	3	Yes	No	3	Yes	No	Metal	2	1	Yes	Walukuba	Yes	Yes	Cement	Yes
h_218003807	1	Unscreened airbricks	No	Yes	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	Yes	Cement/concrete	Seldom	Least poor	2.1419485	["Covered pit latrine w/slab"]	No	Electricity	3	1	Yes	No	4	Yes	No	Tiles	3	2	Yes	Walukuba	Yes	No	Cement	No
h_359003601	6	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Open	No	Earth or sand	Always	Poorest	-.59147221	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	Yes	No	12	No	No	Thatch	5	5	No	Kihihi	Yes	No	Mud	No
h_405003001	0	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Closed	No	Earth or sand	Never	Middle	.52949846	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	4	Yes	No	Metal	2	1	No	Kihihi	Yes	No	Mud	No
h_331001002	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Closed	No	Earth or sand	Never	Least poor	.92645317	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	9	Yes	No	Metal	4	3	No	Kihihi	Yes	No	Mud	No
h_134002801	4	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Closed	No	Earth or sand	Always	Poorest	-.80558622	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	Yes	No	7	Yes	No	Metal	3	2	No	Nagongera	No	No	Mud	No
h_441000906	0	Unscreened airbricks	No	No	Yes	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Cement/concrete	Never	Poorest	-.68652481	["Covered pit latrine no slab"]	No	Candles	3	3	Yes	No	2	No	No	Metal	1	1	No	Kihihi	No	No	Cement	No
h_307005701	1	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth and dung	Seldom	Least poor	1.2702048	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	0	Yes	No	7	Yes	No	Metal	3	3	Yes	Kihihi	Yes	No	Mud	No
h_201033121	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Traditional	Open	No	Earth and dung	Seldom	Middle	.46409813	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	4	Yes	No	6	No	No	Thatch	4	2	No	Walukuba	Yes	No	Mud	No
h_322001001	2	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Pond/lake	Traditional	Closed	No	Earth and dung	Often	Poorest	-.59147221	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	1	Yes	No	8	No	No	Metal	6	3	Yes	Kihihi	Yes	No	Mud	No
h_134002901	4	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	River/stream	Modern	Closed	No	Earth or sand	Always	Least poor	1.326429	["Uncovered pit latrine no slab"]	No	Torch/battery powered lamp	2	2	Yes	No	6	Yes	No	Metal	4	2	No	Nagongera	Yes	No	Cement	No
h_342002701	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Borehole	Traditional	Open	No	Cement/concrete	Seldom	Least poor	2.042098	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	3	0	No	No	5	Yes	No	Metal	4	4	Yes	Kihihi	Yes	No	Mud	No
h_137005902	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth or sand	Seldom	Middle	.60987937	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	2	No	No	7	Yes	No	Thatch	2	2	No	Nagongera	Yes	No	Mud	No
h_219005102	0	Screened airbricks	Yes	Yes	Yes	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Least poor	1.8384022	["Flush toilet"]	No	Paraffin - hurricane lamp	3	0	Yes	Yes	15	Yes	Yes	Metal	10	4	Yes	Walukuba	Yes	Yes	Cement	Yes
h_141016501	1	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Traditional	Open	No	Earth or sand	Always	Poorest	-2.9348412	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	No	No	7	No	No	Metal	3	3	No	Nagongera	No	No	Mud	No
h_344001501	3	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Unprotected spring	Traditional	Closed	No	Earth or sand	Sometimes	Middle	-.11668337	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	2	0	No	No	6	No	No	Metal	3	2	No	Kihihi	Yes	No	Mud	No
h_120005401	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Unprotected spring	Traditional	Open	No	Earth and dung	Never	Least poor	1.0534815	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	Yes	No	3	Yes	No	Thatch	1	1	No	Nagongera	Yes	No	Mud	Yes
h_320004801	2.5	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth or sand	Sometimes	Poorest	-.97352427	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	2	No	No	7	Yes	No	Metal	3	2	No	Kihihi	Yes	No	Mud	No
h_201031206	0	No airbricks	No	No	No	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Traditional	Closed	No	Earth or sand	Sometimes	Middle	.5029428	["Covered pit latrine no slab"]	No	Candles	2	2	Yes	No	3	No	No	Metal	2	1	No	Walukuba	Yes	No	Mud	No
h_206004704	0	No airbricks	No	No	No	No	No	No	No	No	No	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Seldom	Middle	.30518284	["Covered pit latrine no slab"]	No	Candles	3	1	Yes	No	4	Yes	No	Metal	2	2	No	Walukuba	No	No	Mud	No
h_205016305	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	Yes	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	Yes	Earth and dung	Often	Middle	-.16733958	["Uncovered pit latrine no slab"]	No	Electricity	2	2	Yes	No	5	No	No	Metal	2	1	No	Walukuba	Yes	No	Mud	No
h_129008005	3	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected public well	Traditional	Open	No	Earth and dung	Sometimes	Poorest	-.97352427	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	No	No	5	Yes	No	Thatch	2	2	No	Nagongera	Yes	No	Mud	No
h_205002603	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Cement/concrete	Often	Poorest	-1.1034453	["Uncovered pit latrine no slab"]	No	Electricity	2	2	Yes	No	8	No	No	Metal	4	2	No	Walukuba	Yes	No	Mud	No
h_217000304	0	Screened airbricks	No	Yes	Yes	No	No	No	No	No	Yes	Yes	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Sometimes	Least poor	1.5689696	["Covered pit latrine no slab"]	No	Candles	3	4	No	No	6	Yes	No	Tiles	2	2	No	Walukuba	Yes	No	Cement	Yes
h_141012301	7	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Open	No	Earth and dung	Always	Poorest	-1.5004001	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	3	No	No	8	No	No	Metal	4	3	No	Nagongera	Yes	No	Mud	No
h_201002558	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Sometimes	Poorest	-2.7606716	["Uncovered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	3	No	No	8	No	No	Metal	3	1	No	Walukuba	No	No	Mud	No
h_322003601	5	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open well in yard/compound	Traditional	Open	No	Earth or sand	Always	Poorest	-1.3321786	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	1	0	No	No	7	No	No	Metal	4	3	No	Kihihi	Yes	No	Mud	No
h_201032576	0	Screened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	Yes	Public tap	Modern	Closed	No	Cement/concrete	Often	Least poor	1.1994008	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	1	1	Yes	No	6	Yes	No	Metal	2	2	No	Walukuba	Yes	No	Cement	No
h_128003902	2	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Open public well	Traditional	Closed	No	Earth and dung	Sometimes	Middle	-.50869238	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	No	No	7	Yes	No	Metal	2	2	No	Nagongera	Yes	No	Mud	No
h_337003602	4	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Protected spring	Traditional	Closed	No	Earth or sand	Seldom	Least poor	1.2702048	["Covered pit latrine no slab"]	No	Paraffin - hurricane lamp	2	0	Yes	No	11	Yes	No	Metal	6	3	Yes	Kihihi	Yes	No	Mud	No
h_442006104	0	Unscreened airbricks	No	Yes	Yes	No	No	No	No	Yes	Yes	No	["Charcoal"]	Uganda	Yes	Public tap	Modern	Closed	Yes	Cement/concrete	Seldom	Least poor	2.0208681	["Covered pit latrine w/slab"]	No	Electricity	3	3	Yes	No	4	Yes	Yes	Metal	3	2	No	Kihihi	Yes	Yes	Cement	No
h_205016426	1	No airbricks	No	No	Yes	Yes	No	No	No	No	Yes	Yes	["Firewood"]	Uganda	Yes	Public tap	Traditional	Open	No	Earth or sand	Sometimes	Least poor	2.9486773	["Covered pit latrine no slab"]	No	Paraffin - wick lamp	3	4	Yes	No	8	Yes	No	Metal	3	2	No	Walukuba	Yes	No	Mud	No
h_419002201	.5	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth or sand	Never	Middle	.24031056	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	0	Yes	No	6	Yes	No	Metal	2	2	No	Kihihi	Yes	No	Mud	No
h_402003501	1	Unscreened airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Bricks	Seldom	Middle	.24031056	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	2	1	Yes	No	6	Yes	No	Metal	3	2	No	Kihihi	Yes	No	Cement	No
h_206002105	0	No airbricks	No	Yes	No	Yes	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Traditional	Closed	No	Earth or sand	Always	Middle	-.51033652	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	2	Yes	No	10	Yes	No	Metal	5	2	No	Walukuba	No	No	Mud	No
h_124003601	0	No airbricks	No	No	No	Yes	No	No	No	No	No	No	["Firewood"]	Uganda	No	Borehole	Modern	Closed	No	Cement/concrete	Never	Middle	.0086845253	["Uncovered pit latrine w/slab"]	No	Paraffin - wick lamp	2	1	Yes	No	4	No	No	Metal	2	1	No	Nagongera	Yes	No	Cement	No
h_442004603	0	No airbricks	No	No	Yes	No	No	No	No	No	Yes	No	["Charcoal"]	Uganda	No	Public tap	Modern	Closed	No	Earth or sand	Seldom	Least poor	.92645317	["Vip latrine"]	No	Paraffin - hurricane lamp	3	1	Yes	No	3	Yes	No	Metal	2	1	No	Kihihi	Yes	No	Cement	Yes
h_320006101	3	Unscreened airbricks	No	No	Yes	Yes	No	No	No	No	Yes	No	["Firewood"]	Uganda	No	River/stream	Traditional	Closed	No	Earth or sand	Sometimes	Middle	-.063235663	["Uncovered pit latrine no slab"]	No	Paraffin - wick lamp	3	1	Yes	No	10	Yes	No	Metal	4	3	Yes	Kihihi	Yes	No	Mud	No
